estuary_raw,estuary,country,period,intervention_type,description,sources,intervention_type_norm
Passur,Passur,Bangladesh,1800's,Land Reclamation,Large-scale conversion of mangroves to agriculture between Khulna–Mongla; early embankments began fragmenting intertidal storage and channels.,Van Maren et al.(2023),Land Reclamation
Passur,Passur,Bangladesh,1961-1980's,Land Reclamation,Coastal Embankment Project (CEP) begins; widespread polder construction,Van Maren et al.(2023),Land Reclamation
Scheldt,Scheldt,Belgium / The Netherlands,1867,Changes to the Channel Network,"Kreekrakdam closes the Kreekrak, cutting one of the last connections between Western & Eastern Scheldt.",de Bok (2001),Channel Network Changes
Scheldt,Scheldt,Belgium / The Netherlands,1871,Changes to the Channel Network,Sloedam completed; final hydraulic connection between Eastern and Western Scheldt closed.,https://en.wikipedia.org/wiki/Sloedam,Channel Network Changes
Scheldt,Scheldt,Belgium / The Netherlands,1997-1998,Channel Deepening,Second deepening (“tweede verruiming”): drempels deepened by ~1.5–2 m; disposal strategy shifts from mostly east to west/middle estuary.,Vandenbruwaene et al. (2020),Channel Deepening
Scheldt,Scheldt,Belgium / The Netherlands,2008-2011,Channel Deepening,Third deepening (“derde verruiming”) Westerschelde + Beneden-Zeeschelde to enable 13.1 m draught tidal-independent access (≈ −14.7 m GLLWS on 11 thresholds & 3 shoals).,Vandenbruwaene et al. (2020),Channel Deepening
Scheldt,Scheldt,Belgium / The Netherlands,1973-1976,Channel Deepening,First major deepening (“eerste verruiming”) of navigation channel (drempels deepened/widened).,Vandenbruwaene et al. (2020),Channel Deepening
Scheldt,Scheldt,Belgium / The Netherlands,1918,Land Reclamation,Braakman partial reclamation (~344 ha inpoldered).,Vandenbruwaene et al. (2020),Land Reclamation
Scheldt,Scheldt,Belgium / The Netherlands,1952,Land Reclamation,"Braakman closure (Braakmanpolder, ~1,525 ha); large-scale reclamation at the south bank of the Western Scheldt.",Vandenbruwaene et al. (2020),Land Reclamation
Scheldt,Scheldt,Belgium / The Netherlands,1977,Miscellaneous,Sigma Plan launched after the 1976 storm surge: long program of dike upgrades + creation of controlled flood areas (CFAs).,https://www.sigmaplan.be/nl/over-het-sigmaplan,Other
